case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CC_250_9,CC,False,Bend00,8740,0.6352402745995424,207.10504647286726,0.6125858123569794,368.75231443,376.957703
CC_250_9,CC,False,Bend30,8614,0.7026932899930346,164.49679615543351,0.673206408172742,340.35748138,350.000885
CC_250_9,CC,False,Bend45,8591,0.7244791060412059,145.3941746323957,0.7014317308811547,338.8687321000002,360.093079
CC_250_9,CC,False,Bend60,8614,0.75052240538658,140.18048688068487,0.721848154167634,392.03492069000015,481.191833
CC_250_9,CC,False,Bend90,8740,0.7207093821510298,143.72123241708675,0.6775743707093822,339.14431306000006,351.438354
CC_250_9,CC,False,BendEnd,8740,0.7207093821510298,143.72123241708675,0.6775743707093822,339.14431306000006,351.438354
CC_250_9,CC,False,BendStart,8740,0.6352402745995424,207.10504659422608,0.6125858123569794,368.75231443,376.957703
CC_250_9,CC,False,ConeEnd,8456,0.6650898770104068,157.3109513236426,0.6118732261116367,284.36794735000007,289.804474
CC_250_9,CC,False,GVEnd,8449,0.6667061190673452,180.37505288974097,0.5962835838560776,753.1339823200004,1677.03418
CC_250_9,CC,False,GVEnd z680,33133,0.6576524914737573,187.90988577625336,0.5861527781969638,871.4039916,2644.85449
CC_250_9,CC,False,GVEnd2,8449,0.6458752515090543,93.48806213579665,0.5636169960942123,237.04967544000039,356.45343
CC_250_9,CC,False,GVEnd3,8546,0.6799672361338638,108.12263370985204,0.6372571963491692,258.1299578999999,277.788544
CC_250_9,CC,False,GVEnd4,8620,0.6532482598607888,116.09506514336515,0.5988399071925754,241.5459786999999,251.23317
CC_250_9,CC,False,GVEnd5,8460,0.6433806146572104,137.80820345854252,0.5947990543735224,311.2400997799999,323.100342
CC_250_9,CC,False,GVEnd6,8449,0.6746360516037401,149.890094721017,0.6287134572138715,331.40891088,340.522919
CC_250_9,CC,False,GVStart,36499,0.7902682265267541,2376.437358497996,0.7782952957615277,21765.839727999915,32815.5781
CC_250_9,CC,False,RDTStart,2545,0.05029469548133595,3.364120206353906,0.0,5.0723521804,18.5280647
CC_250_9,CC,True,Bend00,8740,0.6494279176201373,178.04622684516625,0.6209382151029749,292.7005664,297.47049
CC_250_9,CC,True,Bend30,8614,0.6006501044810774,160.5882935481091,0.5581611330392384,254.86390754,261.102753
CC_250_9,CC,True,Bend45,8591,0.6326388080549412,147.72493035654756,0.5875916656966593,268.0165894000001,693.553284
CC_250_9,CC,True,Bend60,8614,0.6930578128627816,138.18187093959938,0.6382632923148364,492.2674931800008,1306.66406
CC_250_9,CC,True,Bend90,8740,0.7322654462242563,110.13574431575293,0.6765446224256293,270.86374719,278.47699
CC_250_9,CC,True,BendEnd,8740,0.7322654462242563,110.13574431575293,0.6765446224256293,270.86374719,278.47699
CC_250_9,CC,True,BendStart,8740,0.6497711670480549,177.96716837448838,0.62116704805492,292.7005664,297.47049
CC_250_9,CC,True,ConeEnd,8456,0.6782166508987701,126.54192546118767,0.6104541154210028,269.9721714,274.662231
CC_250_9,CC,True,GVEnd,8449,0.5623150668718192,276.4819831403323,0.5236122618061309,2240.471748000005,4047.73267
CC_250_9,CC,True,GVEnd z680,33133,0.5586575317659132,250.5814814787914,0.5170675761325567,1180.4835280000002,3677.96289
CC_250_9,CC,True,GVEnd2,8449,0.6752278376139188,99.6387582753518,0.5995975855130785,417.5695470800018,982.48291
CC_250_9,CC,True,GVEnd3,8546,0.7094547156564475,88.83877322894774,0.6498946875731336,250.25124454999997,277.003235
CC_250_9,CC,True,GVEnd4,8620,0.7160092807424594,100.5005469435937,0.6526682134570766,239.0731355,248.044434
CC_250_9,CC,True,GVEnd5,8460,0.6581560283687943,116.21643142203831,0.6105200945626478,226.36155455,235.423004
CC_250_9,CC,True,GVEnd6,8449,0.7019765652739969,123.09653383020775,0.6641022606225588,264.76477012000004,276.544464
CC_250_9,CC,True,GVStart,36499,0.6610592071015644,2531.0900538668084,0.6508671470451245,18863.79258399995,28409.7344
CC_250_9,CC,True,RDTStart,2545,0.06404715127701376,9.512944724022454,0.007072691552062868,17.03405043999996,81.3559723
CC_300_9,CC,False,Bend00,8740,0.6916475972540046,124.0608440697638,0.6553775743707094,212.19671833000007,1673.77466
CC_300_9,CC,False,Bend30,8614,0.7475040631530068,106.95321565677031,0.7167401903877408,520.3755110000174,1489.03394
CC_300_9,CC,False,Bend45,8591,0.7516005121638925,101.62296367591054,0.7123734140379467,569.4205321,1253.81213
CC_300_9,CC,False,Bend60,8614,0.7507545855583934,104.29030870231536,0.6251451126073834,800.2126299600288,2112.67896
CC_300_9,CC,False,Bend90,8740,0.6259725400457666,101.95091301947177,0.5108695652173914,288.58620619000004,365.962311
CC_300_9,CC,False,BendEnd,8740,0.6259725400457666,101.95091301947177,0.5108695652173914,288.58620619000004,365.962311
CC_300_9,CC,False,BendStart,8740,0.6863844393592677,122.1451691472998,0.6505720823798627,208.84839487000002,1673.77466
CC_300_9,CC,False,ConeEnd,8456,0.6453405865657521,82.79850707455223,0.4707899716177862,271.4596591000002,294.989899
CC_300_9,CC,False,GVEnd,8449,0.5745058586815007,361.1030166109472,0.5303586223221683,1830.0141520000006,2973.1958
CC_300_9,CC,False,GVEnd z680,37228,0.5727409476737939,298.5633513620335,0.5333888471043301,1366.001572800003,3606.33936
CC_300_9,CC,False,GVEnd2,8449,0.7687300272221564,85.12017123270229,0.6458752515090543,327.5769576000001,501.301239
CC_300_9,CC,False,GVEnd3,8546,0.754856073016616,97.2120524127218,0.6786800842499415,286.06662589999996,340.983459
CC_300_9,CC,False,GVEnd4,8620,0.7751740139211137,72.70356953060401,0.6919953596287703,212.42890419,230.079636
CC_300_9,CC,False,GVEnd5,8460,0.7392434988179669,92.58117087272502,0.6868794326241134,194.11249999999995,228.449371
CC_300_9,CC,False,GVEnd6,8449,0.7166528583264291,102.46434664873948,0.6830394129482779,173.36524540000016,181.490829
CC_300_9,CC,False,GVStart,36364,0.7583874161258387,2431.878949677704,0.748240017599824,21048.154791000074,33156.1719
CC_300_9,CC,False,RDTStart,2545,0.11355599214145383,14.799208305650168,0.02986247544204322,47.141733211999984,64.7577744
CC_350_8,CC,False,Bend00,8740,0.7580091533180778,102.14483295288346,0.7351258581235698,168.5710387100001,195.008575
